Name	\\pi01uz\0096_PIT_5001
Data Type	Float 32
Number of Values	87631
Time	Value	Value Attributes
30-Apr-2020 23:30:55	4.748382
30-Apr-2020 23:00:55	4.744178
30-Apr-2020 22:30:55	4.746875
30-Apr-2020 22:00:55	4.75338
30-Apr-2020 21:30:55	4.755601
30-Apr-2020 21:00:55	4.756245
30-Apr-2020 20:30:55	4.754679
30-Apr-2020 20:00:55	4.757973
30-Apr-2020 19:30:55	4.758419
30-Apr-2020 19:00:55	4.759602
30-Apr-2020 18:30:55	4.757961
30-Apr-2020 18:00:55	4.762426
30-Apr-2020 17:30:55	4.755334
30-Apr-2020 17:00:55	4.752169
30-Apr-2020 16:30:55	4.754818
30-Apr-2020 16:00:55	4.756291
30-Apr-2020 15:30:55	4.754998
30-Apr-2020 15:00:55	4.754743
30-Apr-2020 14:30:55	4.758297
30-Apr-2020 14:00:55	4.753827
30-Apr-2020 13:30:55	4.75603
30-Apr-2020 13:00:55	4.75984
30-Apr-2020 12:30:55	4.74713
30-Apr-2020 12:00:55	4.756645
30-Apr-2020 11:30:55	4.755219
30-Apr-2020 11:00:55	4.761417
30-Apr-2020 10:30:55	4.758813
30-Apr-2020 10:00:55	4.755914
30-Apr-2020 09:30:55	4.757062
30-Apr-2020 09:00:55	4.753392
30-Apr-2020 08:30:55	4.763365
30-Apr-2020 08:00:55	4.761678
30-Apr-2020 07:30:55	4.765806
30-Apr-2020 03:21:20	4.764734
30-Apr-2020 03:04:25	4.764652
30-Apr-2020 02:34:25	4.767105
30-Apr-2020 02:04:25	4.761904
30-Apr-2020 01:34:25	4.761881
30-Apr-2020 01:04:25	4.763556
30-Apr-2020 00:34:25	4.765389
30-Apr-2020 00:04:25	4.76322
29-Apr-2020 23:34:25	4.772973
29-Apr-2020 23:04:25	4.768688
29-Apr-2020 22:34:25	4.777113
29-Apr-2020 22:04:25	4.77143
29-Apr-2020 21:34:25	4.776249
29-Apr-2020 21:04:25	4.781155
29-Apr-2020 20:34:25	4.778702
29-Apr-2020 20:04:25	4.788548
29-Apr-2020 19:34:25	4.779328
29-Apr-2020 19:04:25	4.783097
29-Apr-2020 18:34:25	4.782192
29-Apr-2020 18:04:25	4.783392
29-Apr-2020 17:34:25	4.786188
29-Apr-2020 17:04:25	4.785712
29-Apr-2020 16:34:25	4.786524
29-Apr-2020 16:04:25	4.775536
29-Apr-2020 15:34:25	4.786153
29-Apr-2020 15:04:25	4.779276
29-Apr-2020 14:34:25	4.781526
29-Apr-2020 14:04:25	4.785863
29-Apr-2020 13:34:25	4.789272
29-Apr-2020 13:04:25	4.77731
