Name	\\pi01uz\0096_TIT_5001
Data Type	Float 32
Number of Values	87250
Time	Value	Value Attributes
27-Apr-2020 23:34:25	24.22628
27-Apr-2020 23:04:25	24.21214
27-Apr-2020 22:34:25	24.15518
27-Apr-2020 22:04:25	24.03111
27-Apr-2020 21:34:25	23.78447
27-Apr-2020 21:04:25	23.83262
27-Apr-2020 20:34:25	23.60981
27-Apr-2020 20:04:25	24.46977
27-Apr-2020 19:34:25	24.67083
27-Apr-2020 19:04:25	24.74889
27-Apr-2020 18:34:25	24.8299
27-Apr-2020 18:04:25	24.76841
27-Apr-2020 17:34:25	24.78431
27-Apr-2020 17:04:25	24.88287
27-Apr-2020 16:34:25	24.94658
27-Apr-2020 16:04:25	24.90723
27-Apr-2020 15:34:25	24.96503
27-Apr-2020 15:04:25	25.02314
27-Apr-2020 14:34:25	25.05091
27-Apr-2020 14:04:25	25.10466
27-Apr-2020 13:34:25	25.0439
27-Apr-2020 13:04:25	25.03609
27-Apr-2020 12:34:25	24.99815
27-Apr-2020 12:04:25	24.92471
27-Apr-2020 11:34:25	24.96589
27-Apr-2020 11:04:25	24.90034
27-Apr-2020 10:34:25	24.83468
27-Apr-2020 10:04:25	24.77217
27-Apr-2020 09:34:25	24.75709
27-Apr-2020 09:04:25	24.63054
27-Apr-2020 08:34:25	24.51792
27-Apr-2020 08:04:25	24.50686
27-Apr-2020 07:34:25	24.37595
27-Apr-2020 07:04:25	24.31181
27-Apr-2020 06:34:25	24.24299
27-Apr-2020 06:04:25	24.17561
27-Apr-2020 05:34:25	24.19851
27-Apr-2020 05:04:25	24.20454
27-Apr-2020 04:34:25	24.0958
27-Apr-2020 04:04:25	24.1293
27-Apr-2020 03:34:25	24.14673
27-Apr-2020 03:04:25	24.19535
27-Apr-2020 02:34:25	24.2579
27-Apr-2020 02:04:25	24.3019
27-Apr-2020 01:34:25	24.29092
27-Apr-2020 01:04:25	24.32899
27-Apr-2020 00:34:25	24.38347
27-Apr-2020 00:04:25	24.43324
26-Apr-2020 23:34:25	24.41013
26-Apr-2020 23:04:25	24.38313
26-Apr-2020 22:34:25	24.4479
26-Apr-2020 22:04:25	24.48814
26-Apr-2020 21:34:25	24.62508
26-Apr-2020 21:04:25	24.5997
26-Apr-2020 20:34:25	24.64143
26-Apr-2020 20:04:25	24.65952
26-Apr-2020 19:34:25	24.71996
26-Apr-2020 19:04:25	24.81238
26-Apr-2020 18:34:25	24.87758
26-Apr-2020 18:04:25	24.93261
26-Apr-2020 17:34:25	25.04493
26-Apr-2020 17:04:25	25.05791
26-Apr-2020 16:34:25	25.10593
26-Apr-2020 16:04:25	25.07069
26-Apr-2020 15:34:25	25.03801
26-Apr-2020 15:04:25	24.99934
26-Apr-2020 14:34:25	25.03928
26-Apr-2020 14:04:25	25.03852
26-Apr-2020 13:34:25	25.03335
26-Apr-2020 13:04:25	24.99268
26-Apr-2020 12:34:25	24.98127
26-Apr-2020 12:04:25	24.95769
26-Apr-2020 11:34:25	24.84899
26-Apr-2020 11:04:25	24.77863
26-Apr-2020 10:34:25	24.69783
26-Apr-2020 10:04:25	24.62341
26-Apr-2020 09:34:25	24.54116
26-Apr-2020 09:04:25	24.47109
26-Apr-2020 08:34:25	24.34937
26-Apr-2020 08:04:25	24.2344
26-Apr-2020 07:34:25	24.04406
26-Apr-2020 07:04:25	23.93345
26-Apr-2020 06:34:25	23.8706
26-Apr-2020 06:04:25	23.83625
26-Apr-2020 05:34:25	23.83911
26-Apr-2020 05:04:25	23.82112
26-Apr-2020 04:34:25	23.83574
26-Apr-2020 04:04:25	23.79412
26-Apr-2020 03:34:25	23.79673
26-Apr-2020 03:04:25	23.81369
26-Apr-2020 02:34:25	23.84394
26-Apr-2020 02:04:25	23.90243
26-Apr-2020 01:34:25	23.92405
26-Apr-2020 01:04:25	23.97246
26-Apr-2020 00:34:25	23.99745
26-Apr-2020 00:04:25	24.00296
25-Apr-2020 23:34:25	24.0218
25-Apr-2020 23:04:25	24.02795
25-Apr-2020 22:34:25	24.0212
25-Apr-2020 22:04:25	24.06606
25-Apr-2020 21:34:25	24.06098
25-Apr-2020 21:04:25	24.06572
25-Apr-2020 20:34:25	24.08871
25-Apr-2020 20:04:25	24.09294
25-Apr-2020 19:34:25	24.12639
25-Apr-2020 19:04:25	24.15472
25-Apr-2020 18:34:25	24.17634
25-Apr-2020 18:04:25	24.22398
25-Apr-2020 17:34:25	24.20663
25-Apr-2020 17:04:25	24.25683
25-Apr-2020 16:34:25	24.28251
25-Apr-2020 16:04:25	24.29019
25-Apr-2020 15:34:25	24.32147
25-Apr-2020 15:04:25	24.38577
25-Apr-2020 14:34:25	24.36582
25-Apr-2020 14:04:25	24.41308
25-Apr-2020 13:34:29	24.37167
25-Apr-2020 13:04:30	24.35532
25-Apr-2020 12:34:30	24.31929
25-Apr-2020 12:04:30	24.23666
25-Apr-2020 11:34:30	24.08072
25-Apr-2020 11:04:30	24.08657
25-Apr-2020 10:34:30	24.02103
25-Apr-2020 10:04:30	23.94084
25-Apr-2020 09:34:30	23.89863
25-Apr-2020 09:04:30	23.86778
25-Apr-2020 08:34:30	23.86953
25-Apr-2020 08:04:30	23.82647
25-Apr-2020 07:34:30	23.82664
25-Apr-2020 07:04:30	23.80984
25-Apr-2020 06:34:30	23.7884
25-Apr-2020 06:04:30	23.80856
25-Apr-2020 05:34:30	23.81309
25-Apr-2020 05:04:30	23.78062
25-Apr-2020 04:34:30	23.77644
25-Apr-2020 04:04:30	23.75016
25-Apr-2020 03:34:30	23.7452
25-Apr-2020 03:04:30	23.72461
25-Apr-2020 02:34:30	23.7332
25-Apr-2020 02:04:30	23.72734
25-Apr-2020 01:34:30	23.69804
25-Apr-2020 01:04:30	23.71658
25-Apr-2020 00:34:30	23.69756
25-Apr-2020 00:04:30	23.77883
24-Apr-2020 23:34:30	23.7869
24-Apr-2020 23:04:30	23.73333
24-Apr-2020 22:34:30	23.69363
24-Apr-2020 22:04:30	23.75717
24-Apr-2020 21:34:30	23.77647
24-Apr-2020 21:04:30	23.76695
24-Apr-2020 20:34:30	23.76537
24-Apr-2020 20:04:30	23.89965
24-Apr-2020 19:34:30	23.88038
24-Apr-2020 19:04:30	23.93161
24-Apr-2020 18:34:30	23.96523
24-Apr-2020 18:04:30	24.033
24-Apr-2020 17:34:30	24.07273
24-Apr-2020 17:04:30	24.03471
24-Apr-2020 16:34:30	24.06918
24-Apr-2020 16:04:30	24.10187
24-Apr-2020 15:34:30	24.0635
24-Apr-2020 15:04:30	24.10747
24-Apr-2020 14:34:30	24.09319
24-Apr-2020 14:04:30	24.11768
24-Apr-2020 13:34:30	24.3078
24-Apr-2020 13:04:30	24.32878
24-Apr-2020 12:34:30	24.41756
24-Apr-2020 12:04:30	24.37988
24-Apr-2020 11:34:30	24.3457
24-Apr-2020 11:04:30	24.31784
24-Apr-2020 10:34:30	24.24576
24-Apr-2020 10:04:30	24.15668
24-Apr-2020 09:34:30	24.04432
24-Apr-2020 09:04:30	23.95583
