Name	\\pi01uz\0096_PIT_5173
Data Type	Float 32
Number of Values	87517
Time	Value	Value Attributes
30-Apr-2020 23:30:55	3.918507
30-Apr-2020 23:00:55	3.917678
30-Apr-2020 22:30:55	3.924974
30-Apr-2020 22:00:55	3.932829
30-Apr-2020 21:30:55	3.941855
30-Apr-2020 21:00:55	3.951809
30-Apr-2020 20:30:55	3.965401
30-Apr-2020 20:00:55	3.970154
30-Apr-2020 19:30:55	3.978036
30-Apr-2020 19:00:55	3.98365
30-Apr-2020 18:30:55	3.98365
30-Apr-2020 18:00:55	3.968531
30-Apr-2020 17:30:55	3.957609
30-Apr-2020 17:00:55	3.955792
30-Apr-2020 16:30:55	3.953177
30-Apr-2020 16:00:55	3.949801
30-Apr-2020 15:30:55	3.942692
30-Apr-2020 15:00:55	3.943608
30-Apr-2020 14:30:55	3.946489
30-Apr-2020 14:00:55	3.94606
30-Apr-2020 13:30:55	3.946877
30-Apr-2020 13:00:55	3.943541
30-Apr-2020 12:30:55	3.938828
30-Apr-2020 12:00:55	3.942878
30-Apr-2020 11:30:55	3.942966
30-Apr-2020 11:00:55	3.942894
30-Apr-2020 10:30:55	3.943172
30-Apr-2020 10:00:55	3.945021
30-Apr-2020 09:30:55	3.947286
30-Apr-2020 09:00:55	3.949738
30-Apr-2020 08:30:55	3.952463
30-Apr-2020 08:00:55	3.956589
30-Apr-2020 07:30:55	3.956355
30-Apr-2020 03:21:20	3.969487
30-Apr-2020 03:03:25	3.970229
30-Apr-2020 02:33:25	3.971324
30-Apr-2020 02:03:25	3.973776
30-Apr-2020 01:33:25	3.97835
30-Apr-2020 01:03:25	3.983253
30-Apr-2020 00:33:25	3.987927
30-Apr-2020 00:03:25	3.998091
29-Apr-2020 23:33:25	4.001761
29-Apr-2020 23:03:25	4.007514
29-Apr-2020 22:33:25	4.013921
29-Apr-2020 22:03:25	4.02245
29-Apr-2020 21:33:25	4.031178
29-Apr-2020 21:03:25	4.041489
29-Apr-2020 20:33:25	4.049436
29-Apr-2020 20:03:25	4.058616
29-Apr-2020 19:33:25	4.057521
29-Apr-2020 19:03:25	4.067059
29-Apr-2020 18:33:25	4.066717
29-Apr-2020 18:03:25	4.06181
29-Apr-2020 17:33:25	4.060663
29-Apr-2020 17:03:25	4.059639
29-Apr-2020 16:33:25	4.059275
29-Apr-2020 16:03:25	4.059183
29-Apr-2020 15:33:25	4.05818
29-Apr-2020 15:03:25	4.056359
29-Apr-2020 14:33:25	4.05382
29-Apr-2020 14:03:25	4.057668
