Name	\\pi01uz\0096_TIT_9001
Data Type	Float 32
Number of Values	88272
Time	Value	Value Attributes
30-Apr-2020 23:30:55	51.74072
30-Apr-2020 23:00:55	51.66958
30-Apr-2020 22:30:55	51.83232
30-Apr-2020 22:00:55	51.70284
30-Apr-2020 21:30:55	51.95293
30-Apr-2020 21:00:55	52.06309
30-Apr-2020 20:30:55	52.03579
30-Apr-2020 20:00:55	52.13638
30-Apr-2020 19:30:55	51.88257
30-Apr-2020 19:00:55	51.95894
30-Apr-2020 18:30:55	51.82798
30-Apr-2020 18:00:55	51.98413
30-Apr-2020 17:30:55	52.07949
30-Apr-2020 17:00:55	52.21391
30-Apr-2020 16:30:55	52.27827
30-Apr-2020 16:00:55	52.21958
30-Apr-2020 15:30:55	52.13838
30-Apr-2020 15:00:55	52.23003
30-Apr-2020 14:30:55	52.22861
30-Apr-2020 14:00:55	52.15381
30-Apr-2020 13:30:55	52.11914
30-Apr-2020 13:00:55	52.34585
30-Apr-2020 12:30:55	52.14854
30-Apr-2020 12:00:55	52.17544
30-Apr-2020 11:30:55	52.13676
30-Apr-2020 11:00:55	51.93584
30-Apr-2020 10:30:55	52.11201
30-Apr-2020 10:00:55	51.93965
30-Apr-2020 09:30:55	51.95181
30-Apr-2020 09:00:55	51.99619
30-Apr-2020 08:30:55	51.92554
30-Apr-2020 08:00:55	51.73686
30-Apr-2020 07:30:55	51.96489
30-Apr-2020 03:21:20	51.75391
30-Apr-2020 03:18:45	51.67588
30-Apr-2020 02:48:45	51.7607
30-Apr-2020 02:18:45	51.83804
30-Apr-2020 01:48:45	51.69053
30-Apr-2020 01:18:45	51.61104
30-Apr-2020 00:48:45	51.58882
30-Apr-2020 00:18:45	51.69312
29-Apr-2020 23:48:45	51.71328
29-Apr-2020 23:18:45	51.64673
29-Apr-2020 22:48:45	51.52358
29-Apr-2020 22:18:45	51.51563
29-Apr-2020 21:48:45	51.58076
29-Apr-2020 21:18:45	51.55717
29-Apr-2020 20:48:45	51.71861
29-Apr-2020 20:18:45	51.65762
29-Apr-2020 19:48:45	51.68965
29-Apr-2020 19:18:45	51.47475
29-Apr-2020 18:48:45	51.44731
29-Apr-2020 18:18:45	51.50317
29-Apr-2020 17:48:45	51.55039
29-Apr-2020 17:18:45	51.50576
29-Apr-2020 16:48:45	51.49355
29-Apr-2020 16:18:45	51.40381
29-Apr-2020 15:48:45	51.4355
29-Apr-2020 15:18:45	51.53047
29-Apr-2020 14:48:45	51.54546
29-Apr-2020 14:18:45	51.40068
29-Apr-2020 13:48:45	51.24644
29-Apr-2020 13:18:45	51.42857
29-Apr-2020 12:48:45	51.35205
29-Apr-2020 12:18:45	51.43662
29-Apr-2020 11:48:45	51.55796
29-Apr-2020 11:18:45	51.17969
29-Apr-2020 10:48:45	51.3044
29-Apr-2020 10:18:45	51.15078
29-Apr-2020 09:48:45	51.0189
29-Apr-2020 09:18:45	50.9399
29-Apr-2020 08:48:45	51.11861
29-Apr-2020 08:18:45	51.40694
29-Apr-2020 07:48:45	51.48677
29-Apr-2020 07:18:45	51.29531
29-Apr-2020 06:48:45	51.24614
29-Apr-2020 06:18:45	51.06934
29-Apr-2020 05:48:45	50.97041
29-Apr-2020 05:18:45	50.72749
29-Apr-2020 04:48:45	50.83598
29-Apr-2020 04:18:45	50.78374
29-Apr-2020 03:48:45	50.9375
29-Apr-2020 03:18:45	51.03139
29-Apr-2020 02:48:45	51.19321
29-Apr-2020 02:18:45	51.20659
29-Apr-2020 01:48:45	51.33193
29-Apr-2020 01:18:45	51.07085
29-Apr-2020 00:48:45	51.02998
29-Apr-2020 00:18:45	50.95205
28-Apr-2020 23:48:45	51.10869
28-Apr-2020 23:18:45	51.16357
28-Apr-2020 22:48:45	51.31582
28-Apr-2020 22:18:45	51.36631
28-Apr-2020 21:48:45	51.39497
28-Apr-2020 21:18:45	51.41353
28-Apr-2020 20:48:45	51.54199
28-Apr-2020 20:18:45	51.6125
28-Apr-2020 19:48:45	51.67861
28-Apr-2020 19:18:45	51.66577
28-Apr-2020 18:48:45	51.64893
28-Apr-2020 18:18:45	51.70898
28-Apr-2020 17:48:45	51.6062
28-Apr-2020 17:18:45	51.45811
28-Apr-2020 16:48:45	51.6394
28-Apr-2020 16:18:45	51.78633
28-Apr-2020 15:48:45	51.73794
28-Apr-2020 15:18:45	51.8148
28-Apr-2020 14:48:45	51.71352
28-Apr-2020 14:18:45	51.57793
28-Apr-2020 13:48:45	51.46944
28-Apr-2020 13:18:45	51.44112
28-Apr-2020 12:48:45	51.33272
28-Apr-2020 12:18:45	51.28003
28-Apr-2020 11:48:45	51.22749
28-Apr-2020 11:18:45	51.05762
28-Apr-2020 10:48:45	50.81416
28-Apr-2020 10:18:45	50.72031
28-Apr-2020 09:48:45	50.95483
28-Apr-2020 09:18:45	50.97798
28-Apr-2020 08:48:45	50.90527
28-Apr-2020 08:18:45	50.74429
28-Apr-2020 07:48:45	50.77354
28-Apr-2020 07:18:45	50.68398
28-Apr-2020 06:48:45	50.6479
28-Apr-2020 06:18:45	50.8101
28-Apr-2020 05:48:45	50.82143
28-Apr-2020 05:18:45	50.94482
28-Apr-2020 04:48:45	51.32222
28-Apr-2020 04:18:45	51.31777
28-Apr-2020 03:48:45	51.10254
28-Apr-2020 03:18:45	50.65576
28-Apr-2020 02:48:45	50.55298
28-Apr-2020 02:18:45	50.6248
28-Apr-2020 01:48:45	50.9501
28-Apr-2020 01:18:45	50.61812
28-Apr-2020 00:48:45	51.22847
28-Apr-2020 00:18:45	51.13501
27-Apr-2020 23:48:45	51.04765
27-Apr-2020 23:18:45	50.89439
27-Apr-2020 22:48:45	50.78125
27-Apr-2020 22:18:45	50.22876
27-Apr-2020 21:48:45	49.44258
27-Apr-2020 21:25:50	49.44063
27-Apr-2020 20:55:50	49.30913
27-Apr-2020 20:25:50	47.88081
27-Apr-2020 20:17:55	48.47295
27-Apr-2020 20:12:15	47.23145
27-Apr-2020 20:04:25	49.85508
27-Apr-2020 19:34:25	51.33687
27-Apr-2020 19:04:25	51.28462
27-Apr-2020 18:34:25	51.49019
27-Apr-2020 18:04:25	51.76904
27-Apr-2020 17:34:25	51.72612
27-Apr-2020 17:04:25	51.76831
27-Apr-2020 16:34:25	51.7249
27-Apr-2020 16:04:25	51.70396
27-Apr-2020 15:34:25	51.65865
27-Apr-2020 15:04:25	51.56084
27-Apr-2020 14:34:25	51.41953
27-Apr-2020 14:04:25	51.37944
27-Apr-2020 13:34:25	51.24434
27-Apr-2020 13:04:25	51.03979
27-Apr-2020 12:34:25	50.91045
27-Apr-2020 12:04:25	50.73071
27-Apr-2020 11:34:25	50.87036
27-Apr-2020 11:04:25	50.98198
27-Apr-2020 10:34:25	50.81128
27-Apr-2020 10:04:25	50.72099
27-Apr-2020 09:34:25	50.77861
27-Apr-2020 09:04:25	50.9187
