Name	\\pi01uz\0096_Gro_temp
Data Type	Float 32
Number of Values	86991
Time	Value	Value Attributes
30-Apr-2020 23:30:50	21.50241
30-Apr-2020 23:00:50	21.5036
30-Apr-2020 22:30:50	21.50159
30-Apr-2020 22:00:50	21.50369
30-Apr-2020 21:30:50	21.50351
30-Apr-2020 21:00:50	21.50269
30-Apr-2020 20:30:50	21.50357
30-Apr-2020 20:00:50	21.50269
30-Apr-2020 19:30:50	21.50284
30-Apr-2020 19:00:50	21.50055
30-Apr-2020 18:30:50	21.49997
30-Apr-2020 18:00:50	21.49863
30-Apr-2020 17:30:50	21.50039
30-Apr-2020 17:00:50	21.49994
30-Apr-2020 16:30:50	21.50027
30-Apr-2020 16:00:50	21.50012
30-Apr-2020 15:30:50	21.49976
30-Apr-2020 15:00:50	21.49841
30-Apr-2020 14:30:50	21.49759
30-Apr-2020 14:00:50	21.4982
30-Apr-2020 13:30:50	21.49677
30-Apr-2020 13:00:50	21.49817
30-Apr-2020 12:30:50	21.49497
30-Apr-2020 12:00:50	21.49551
30-Apr-2020 11:30:50	21.49609
30-Apr-2020 11:00:50	21.49585
30-Apr-2020 10:30:50	21.4913
30-Apr-2020 10:00:50	21.49197
30-Apr-2020 09:30:50	21.49289
30-Apr-2020 09:00:50	21.49277
30-Apr-2020 08:30:50	21.49146
30-Apr-2020 08:00:50	21.49078
30-Apr-2020 07:30:54	21.48715
30-Apr-2020 03:21:20	21.48029
30-Apr-2020 03:02:10	21.48477
30-Apr-2020 02:32:10	21.47849
30-Apr-2020 02:02:10	21.47959
30-Apr-2020 01:32:10	21.4794
30-Apr-2020 01:02:10	21.47708
30-Apr-2020 00:32:10	21.47598
30-Apr-2020 00:02:10	21.47412
29-Apr-2020 23:32:10	21.47251
29-Apr-2020 23:02:10	21.47513
29-Apr-2020 22:32:10	21.47378
29-Apr-2020 22:02:10	21.47144
29-Apr-2020 21:32:10	21.47095
29-Apr-2020 21:02:10	21.47177
29-Apr-2020 20:32:10	21.46884
29-Apr-2020 20:02:10	21.46735
29-Apr-2020 19:32:10	21.46405
29-Apr-2020 19:02:10	21.4606
29-Apr-2020 18:32:10	21.45923
29-Apr-2020 18:02:10	21.45774
29-Apr-2020 17:32:10	21.4573
29-Apr-2020 17:02:10	21.4541
29-Apr-2020 16:32:10	21.44949
29-Apr-2020 16:02:10	21.44919
29-Apr-2020 15:32:10	21.44891
29-Apr-2020 15:02:10	21.44773
29-Apr-2020 14:32:10	21.44602
29-Apr-2020 14:02:10	21.44122
29-Apr-2020 13:32:10	21.43491
29-Apr-2020 13:02:10	21.43103
29-Apr-2020 12:32:10	21.43042
29-Apr-2020 12:02:10	21.42612
29-Apr-2020 11:32:10	21.42261
29-Apr-2020 11:02:10	21.41995
29-Apr-2020 10:32:10	21.41446
29-Apr-2020 10:02:10	21.4126
29-Apr-2020 09:32:10	21.40988
29-Apr-2020 09:02:10	21.40988
29-Apr-2020 08:32:10	21.40417
29-Apr-2020 08:02:10	21.40036
29-Apr-2020 07:32:10	21.39801
29-Apr-2020 07:02:10	21.39148
29-Apr-2020 06:32:10	21.38828
29-Apr-2020 06:02:10	21.38336
29-Apr-2020 05:32:10	21.37881
29-Apr-2020 05:02:10	21.37466
29-Apr-2020 04:32:10	21.37421
29-Apr-2020 04:02:10	21.37356
29-Apr-2020 03:32:10	21.36819
29-Apr-2020 03:02:10	21.36658
29-Apr-2020 02:32:10	21.36224
29-Apr-2020 02:02:10	21.35983
29-Apr-2020 01:32:10	21.35989
29-Apr-2020 01:02:10	21.35626
29-Apr-2020 00:32:10	21.35474
29-Apr-2020 00:02:10	21.35037
28-Apr-2020 23:32:10	21.34842
28-Apr-2020 23:02:10	21.34589
28-Apr-2020 22:32:10	21.34317
28-Apr-2020 22:02:10	21.34058
28-Apr-2020 21:32:10	21.33832
28-Apr-2020 21:02:10	21.33282
28-Apr-2020 20:32:10	21.33103
28-Apr-2020 20:02:10	21.32834
28-Apr-2020 19:32:10	21.32565
28-Apr-2020 19:02:10	21.31723
28-Apr-2020 18:32:10	21.319
28-Apr-2020 18:02:10	21.31995
28-Apr-2020 17:32:10	21.32355
28-Apr-2020 17:02:10	21.31897
28-Apr-2020 16:32:10	21.31055
28-Apr-2020 16:02:10	21.30566
28-Apr-2020 15:32:10	21.29089
28-Apr-2020 15:02:10	21.28433
28-Apr-2020 14:32:10	21.2807
28-Apr-2020 14:02:10	21.27316
28-Apr-2020 13:32:10	21.27148
28-Apr-2020 13:02:10	21.26324
28-Apr-2020 12:32:10	21.25671
28-Apr-2020 12:02:10	21.24933
28-Apr-2020 11:32:10	21.24554
28-Apr-2020 11:02:10	21.23657
28-Apr-2020 10:32:14	21.22943
28-Apr-2020 10:02:15	21.22491
28-Apr-2020 09:32:15	21.21878
28-Apr-2020 09:02:15	21.20804
28-Apr-2020 08:32:15	21.20239
28-Apr-2020 08:02:15	21.19379
28-Apr-2020 07:32:15	21.18665
28-Apr-2020 07:02:15	21.18066
28-Apr-2020 06:32:15	21.17185
28-Apr-2020 06:02:15	21.16495
28-Apr-2020 05:32:15	21.15884
28-Apr-2020 05:02:15	21.14987
28-Apr-2020 04:32:15	21.14526
28-Apr-2020 04:02:15	21.13632
28-Apr-2020 03:32:15	21.12796
28-Apr-2020 03:02:15	21.12122
28-Apr-2020 02:32:15	21.11432
28-Apr-2020 02:02:15	21.10947
28-Apr-2020 01:32:15	21.10232
28-Apr-2020 01:02:15	21.09549
28-Apr-2020 00:32:15	21.08844
28-Apr-2020 00:02:15	21.08228
27-Apr-2020 23:32:15	21.07437
27-Apr-2020 23:02:15	21.06708
27-Apr-2020 22:32:15	21.0589
27-Apr-2020 22:02:19	21.0495
27-Apr-2020 21:32:20	21.0419
27-Apr-2020 21:02:20	21.03293
27-Apr-2020 20:32:20	21.03189
27-Apr-2020 20:02:20	21.02963
27-Apr-2020 19:32:20	21.02448
27-Apr-2020 19:02:24	21.01727
27-Apr-2020 18:32:25	21.008
27-Apr-2020 18:02:25	21.00491
27-Apr-2020 17:32:25	21.00085
27-Apr-2020 17:02:25	20.99747
27-Apr-2020 16:32:25	20.99148
27-Apr-2020 16:02:25	20.98764
27-Apr-2020 15:32:25	20.97757
27-Apr-2020 15:02:25	20.97085
27-Apr-2020 14:32:25	20.96106
27-Apr-2020 14:02:25	20.95615
27-Apr-2020 13:32:25	20.94656
27-Apr-2020 13:02:25	20.94043
27-Apr-2020 12:32:25	20.93298
27-Apr-2020 12:02:25	20.92761
27-Apr-2020 11:32:25	20.92133
27-Apr-2020 11:02:25	20.91315
27-Apr-2020 10:32:25	20.90445
27-Apr-2020 10:02:25	20.89722
27-Apr-2020 09:32:25	20.88727
27-Apr-2020 09:02:25	20.88898
27-Apr-2020 08:32:25	20.87988
27-Apr-2020 08:02:29	20.87124
27-Apr-2020 07:32:30	20.86704
27-Apr-2020 07:02:30	20.86414
27-Apr-2020 06:32:30	20.8569
27-Apr-2020 06:02:30	20.84964
27-Apr-2020 05:32:30	20.84439
27-Apr-2020 05:02:30	20.84082
27-Apr-2020 04:32:30	20.83643
27-Apr-2020 04:02:30	20.83029
27-Apr-2020 03:32:30	20.82648
27-Apr-2020 03:02:30	20.82123
27-Apr-2020 02:32:30	20.81643
27-Apr-2020 02:02:30	20.81259
27-Apr-2020 01:32:30	20.81165
27-Apr-2020 01:02:30	20.80652
27-Apr-2020 00:32:30	20.80411
27-Apr-2020 00:02:30	20.80457
26-Apr-2020 23:32:30	20.80057
26-Apr-2020 23:02:30	20.7981
26-Apr-2020 22:32:30	20.79434
26-Apr-2020 22:02:30	20.79336
26-Apr-2020 21:32:30	20.79257
26-Apr-2020 21:02:30	20.79038
26-Apr-2020 20:32:30	20.78885
26-Apr-2020 20:02:30	20.7875
26-Apr-2020 19:32:30	20.78528
26-Apr-2020 19:02:30	20.78534
